2f	3f	6f	4f	15f	8f	16f	9f	17f	10f	18f	11f	12f	13f	14f
seq1	7312	0	0	0	0	2825	4381	10510	3510	4438	119	4	1964	6776	3810
seq2	0	0	0	3896	0	0	7	0	12	0	0	0	0	0	0
seq3	3543	183	1614	0	2945	0	6695	3970	444	780	36	1816	75	3624	4312
seq4	249	2373	1509	0	0	0	5717	784	802	319	0	2647	1790	1877	3067
seq5	0	0	0	882	4	0	0	0	65	0	0	0	0	0	0
seq6	4758	0	0	0	0	0	0	0	0	5343	0	0	3178	5038	7781
seq7	0	0	0	2951	0	0	0	0	0	0	0	0	0	0	0
seq8	0	680	0	0	650	1812	4989	2416	1873	0	0	3716	610	5	835
seq9	0	0	0	1068	0	0	0	0	83	0	0	0	0	0	0
seq10	0	0	0	393	0	0	0	0	95	0	0	0	0	0	0
seq11	0	425	6237	0	4364	1469	3016	380	1368	0	0	0	0	0	0
seq12	0	0	0	31	0	0	3	0	9	0	0	0	0	0	0
seq13	0	0	0	115	0	0	0	48	0	0	0	2	0	0	0
seq14	1086	0	0	0	1840	453	0	4074	0	5863	0	0	118	0	0
seq15	731	2043	434	0	635	2837	1793	650	466	36	207	3667	50	144	117
seq16	0	0	0	192	5	0	0	0	9	0	0	0	0	0	0
seq17	0	0	0	266	0	0	0	0	19	0	0	0	0	0	0
seq18	59	0	0	0	3911	907	456	1981	0	0	0	94	827	1002	0
seq19	0	239	6	0	0	0	0	731	831	63	3167	2789	256	712	25
seq20	0	0	0	941	0	0	0	0	0	0	0	3	0	0	0
seq21	0	0	0	96	0	0	0	0	15	0	0	0	0	0	0
seq22	0	0	0	0	0	0	0	0	0	747	0	2134	1291	2602	1759
seq23	0	0	0	218	0	0	0	0	0	0	0	0	0	0	0
seq24	0	495	1853	0	0	0	0	458	1129	491	15	0	4402	271	23
seq25	0	0	0	177	0	0	0	0	10	0	0	0	0	0	0
seq26	0	0	0	0	0	0	0	0	0	9934	2	0	0	0	0
seq27	0	47	0	0	0	6467	0	34	172	0	3942	0	0	0	0
seq28	0	0	7685	0	0	0	0	0	0	0	0	0	0	0	0
seq29	0	235	0	0	0	0	0	43	838	0	3421	1808	422	90	11
seq30	27	104	23	0	2529	0	700	417	852	40	289	477	332	526	334
seq31	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0
seq32	0	0	0	0	0	0	880	0	0	0	0	150	1709	2165	1941
seq33	0	0	0	215	0	0	0	0	0	0	0	0	0	0	0
seq34	136	674	686	0	594	1145	369	1237	353	19	97	1013	23	121	136
seq35	0	0	0	175	0	0	0	0	7	0	0	0	0	0	0
seq36	886	0	0	0	0	0	0	0	0	0	0	0	4037	0	2169
seq37	7031	0	0	0	0	0	0	0	0	0	0	0	0	0	0
seq38	0	0	0	167	0	0	0	0	9	0	0	0	0	0	0
seq39	0	0	0	311	0	0	0	0	0	0	0	0	0	0	0
seq40	0	0	0	29	0	0	0	0	13	0	0	0	0	0	0
seq41	0	0	0	352	0	0	0	0	8	0	0	0	0	0	0
seq42	18	3593	0	0	0	914	0	6	0	0	24	1715	7	0	0
seq43	0	0	0	846	0	0	0	0	0	0	0	0	0	0	0
seq44	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0
seq45	739	2938	474	0	0	0	0	0	116	0	0	0	97	1094	0
seq46	0	0	0	582	0	0	0	0	61	0	0	0	0	0	0
seq47	0	3635	0	0	0	0	0	0	2707	0	0	0	0	0	0
seq48	0	0	0	95	0	0	0	0	20	0	0	0	0	0	0
seq49	0	0	0	146	0	0	0	0	0	0	0	0	0	0	0
seq50	0	0	0	280	0	0	0	0	0	0	0	0	0	0	0
seq51	0	0	0	0	2994	1249	250	0	173	83	112	45	0	0	0
seq52	0	0	0	477	6	0	0	0	0	0	0	0	0	0	0
seq53	0	732	0	0	0	0	0	150	0	504	0	0	0	1988	1211
seq54	189	0	4188	0	0	0	0	0	0	0	9	0	0	0	0
seq55	0	0	0	792	0	0	0	0	0	0	0	0	0	0	0
